Item ,Purpose ,Source ,Price (Malaysia Currency),Price (usd),Quantity,Link
Radxa cubie a7a,Main computer ,Aliexpress ,153,38.62,1,https://www.aliexpress.com/item/1005009735747676.html?algo_exp_id=8eec4bdf-a8ed-49b4-b420-2a2807f01f32-0&pdp_ext_f=%7B%22order%22%3A%22297%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009735747676%7C_p_origin_prod%3A
Micro Digital Amplier Board ,For the audio amplifier speaker ,Aliexpress ,2.09,0.53,1,https://a.aliexpress.com/_c3usjmxJ
Audio amplifier board plastic speaker ,As the speaker for the alarm ,TaoBao ,2.90,0.73,2,https://click.world.taobao.com/_b.bbuoO7
Passive Buzzer Module,As the vibration module for the alarm vibration,Aliexpress ,4.00,1.01,1,https://www.aliexpress.com/item/1005010218492946.html?spm=a2g0o.productlist.main.13.47e73b6a5eQsqL&algo_pvid=bebc38c7-2600-4ba2-ab23-5679e3352ea5&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010218492946%7C_p_origin_prod%3A
Screen With Touch Film (7 inch),As the screen that shows the animation,TaoBao ,106.79,26.95,1,https://click.world.taobao.com/_b.hbuo7h
Tactile switch button,As the snooze button ,TaoBao ,1.53,0.39,4,https://click.world.taobao.com/_b.4bupYW
Power Supply Adapter 5V 6A,Changes alternating current to direct current ,Aliexpress ,21.58,5.45,1,https://www.aliexpress.com/item/1005005622817698.html?spm=a2g0o.productlist.main.4.79aa5ae74SHxf1&aem_p4p_detail=202606070238303714281008707600001954015&algo_pvid=bb78ee78-03bc-4bf8-ba92-8e968f03420d&pdp_ext_f=%7B%22order%22%3A%22230%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005622817698%7C_p_origin_prod%3A&search_p4p_id=202606070238303714281008707600001954015_1
Power Distribution Board ,Distribute the current to other parts ,Aliexpress ,17.94,4.53,1,https://www.aliexpress.com/item/1005001835785033.html?pdp_ext_f=%7B%22order%22%3A%22205%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001835785033%7C_p_origin_prod%3A
Wires ,Allow current to be transferred to the parts,Owned,,,,,,
3D Printer,Used to print out the model ,Owned,,,,,,
3D Printer FIlament PLA+,Filament for 3D printer, owned,,,,,,
Solder, Used to solder wire and electronic components together, owned,,,,,,
Soldering stick, Used to melt solder, owned,,,,,,
Screws, Used to hold internal components and close the shell of the clock, owned,,,,,,
